x,y,x2,x3,x4,G_F,G_M
400.0,1220.253196064205,6710.023722735511,-79427.00308230148,-4021.199462373836,True,False
401.0,1223.000748422847,4304.634350610573,45768.89251346146,15361.328421808808,True,False
402.0,1226.3733442683238,-21070.29746012656,-32163.825243187934,47041.43842114212,True,False
403.0,1228.4728484258403,5994.735403394074,-79510.4993590744,19623.065340081048,True,False
404.0,1231.728253623574,-2143.978443219789,54671.669602475085,-2219.8464326500603,True,False
405.0,1234.8725212242398,-14923.945029867942,31941.87244565256,-60237.08152988076,True,False
406.0,1237.7551850407112,2024.307194260238,11461.654080298487,6436.599567821659,True,False
407.0,1241.1801732409626,14738.900707965317,51497.05280799839,71573.47152825433,True,False
408.0,1243.9474633870475,-12833.72323762756,35814.262631928905,44603.520261212485,True,False
409.0,1247.1350542603438,-25153.84804667501,19758.663872564885,4311.688552383847,True,False
410.0,1249.9699532864863,-8969.79520193321,30831.68860264785,-44013.03100080927,True,False
411.0,1253.159442330316,21224.75127550537,-27142.07263218904,66025.1227664978,True,False
412.0,1255.4149364241284,1193.6187417672031,-26136.36016525631,68362.57184422541,True,False
413.0,1258.9356948850238,716.5719446463023,-15351.71186094681,-6208.01885887301,True,False
414.0,1262.2304815241075,3127.5743210381947,-15835.059375078436,25326.864572288465,True,False
415.0,1265.0196036587736,-1401.3845894672734,17520.99672234991,55440.38747730397,True,False
416.0,1267.8151665316416,-13117.29988752944,5422.492141537068,58586.17200092063,True,False
417.0,1271.2136169573098,-11716.289792282849,47166.971555665164,49860.79186993943,True,False
418.0,1274.4269934132744,984.0903123173769,-12589.549834481237,27871.08880678693,True,False
419.0,1276.83804778985,13964.94189844484,12936.825717165702,21434.108806122917,True,False
420.0,1279.9646796865177,1866.2084419655368,19273.150257426623,-29299.905726159643,True,False
421.0,1283.2201023742196,-10157.067651490246,21215.917592374524,94958.94373607828,True,False
422.0,1285.4015385069647,6044.664162585216,-4646.995233204378,-37172.41093499401,True,False
423.0,1288.7606745242838,-2259.8540444474493,-12033.550392334431,-54228.73818610108,True,False
424.0,1291.8360651030314,19933.593240741127,-14065.019153048208,22856.18926979768,True,False
425.0,1294.844859432807,-9115.535434441032,27884.517352024173,-21802.57475842179,True,False
426.0,1297.6465013827562,7109.483104685271,3852.989075818814,-29382.89258311249,True,False
427.0,1300.864262668314,-10541.00673124333,13827.678490689806,30092.036260791407,True,False
428.0,1303.797861639369,-2363.598777299549,-29278.03540047236,-66938.470064627,True,False
429.0,1306.587921945277,12900.406161323712,-14183.823216497774,30160.17399921946,True,False
430.0,1310.00588710793,6062.291000572437,19586.932652021645,17698.075279306508,True,False
431.0,1312.7762246434115,-4262.558266940098,2324.084830065674,14416.812849577129,True,False
432.0,1315.7331133350942,-7504.560053336643,11732.634723715337,15805.410498167066,True,False
433.0,1318.649412068023,-9724.926499890238,6317.275586124996,-59213.37703468859,True,False
434.0,1322.0900450488812,-11241.810815855675,25044.08793218416,3237.4997397644397,True,False
435.0,1325.101472082518,2461.083833279541,10979.372755858292,-24464.725605641142,True,False
436.0,1327.8037119123742,-728.1458033076921,59184.69273699533,-46205.10708375662,True,False
437.0,1331.0046364418467,10986.797389525793,886.3739342658471,-49016.66486636539,True,False
438.0,1334.0451792578192,-9504.809242780908,9497.218343887604,25927.946033258504,True,False
439.0,1337.151626073653,10166.491190058943,21879.86712273635,-9246.995225260354,True,False
440.0,1339.723263776256,-9078.64444539349,-51866.97501864972,-71633.96803654906,True,False
441.0,1342.7915190855138,-6174.814425570302,-34565.798355400206,20922.63669789193,True,False
442.0,1346.0953451418738,2392.046569616273,-4954.123973788334,-54544.696215649055,True,False
443.0,1348.8120570029166,400.9997093436596,-30742.708532760356,-30096.388614665924,True,False
444.0,1352.0437324246586,-16182.81010655752,-16360.390991099224,5819.199279766248,True,False
445.0,1354.9340560628311,-10007.78390464535,33297.51699789574,-19603.802026249643,True,False
446.0,1358.1166318214314,8814.281509660126,-4146.470627038692,-52412.90352791493,True,False
447.0,1360.4910948016743,-8881.839071304126,14442.001777026911,-77688.35855047217,True,False
448.0,1363.9878046659023,5862.399459589269,-15299.153610157657,13016.581374819883,True,False
449.0,1367.4255368612164,6905.680407065726,28277.76429275405,-22907.703899858025,True,False
450.0,1369.2375236945093,7580.255078624659,-22596.823748257368,-65225.88482491962,True,False
451.0,1373.4919342258456,-25390.099098009217,7765.989945840439,32.57213618909136,True,False
452.0,1376.1017701002424,11512.94907031932,32214.774635625527,-3816.9209460357247,True,False
453.0,1378.8214857132407,11872.3911265745,15833.246779550209,-122877.42588538874,True,False
454.0,1382.1112601210332,13558.632091339678,-8997.626716155959,-40983.44896186932,True,False
455.0,1385.0712021312586,-6588.066632836791,-20595.03444551799,-39006.11148541443,True,False
456.0,1388.2247888646657,-7665.047085260378,27165.97914211979,-32907.73809805943,True,False
457.0,1390.5748602236274,16322.348847954529,-16199.07053108978,37365.95757295596,True,False
458.0,1394.1451054351026,-5795.970413087042,-9561.913202201911,-9322.84591205784,True,False
459.0,1397.2265057650948,10266.736804504111,-11367.147385658893,-65995.45884135876,True,False
460.0,1400.0012001864063,-5177.261023780562,9224.20351714638,2815.4722468966083,True,False
461.0,1403.2016967428344,-3143.1940124159,28186.74961683655,39106.86292061112,True,False
462.0,1406.1112404079036,13525.11602304016,2186.9455819060927,26730.518089729205,True,False
463.0,1409.122802879774,-2255.7784123266547,2453.112565044833,-4780.340011947626,True,False
464.0,1411.5978804580668,7604.009060192526,20128.41469513733,61110.84934753277,True,False
465.0,1415.1275595074449,-28532.90720531655,-9040.37986692176,-1490.0592679797069,True,False
466.0,1418.1352782296708,5791.923924308683,-18596.912989278186,65590.62044914588,True,False
467.0,1420.4791458021557,18289.185879027355,-23860.814905408744,-17390.958584964323,True,False
468.0,1423.9114873242518,1648.4957458215508,-70160.75738869362,-42911.51451193144,True,False
469.0,1426.751467736624,-4595.234703668697,-19834.599906551422,22707.672330231348,True,False
470.0,1430.174586288574,-162.80598777060854,136.27852535293042,14853.938299650845,True,False
471.0,1432.5946394345283,7894.320266696222,-1740.4817407554224,-121533.96226093004,True,False
472.0,1435.7476831046763,2938.267093772,7428.005677826875,-3566.9786238315605,True,False
473.0,1438.7693722968995,-4086.996060925658,-13672.511129189756,15585.490312031938,True,False
474.0,1442.556367075082,-4919.914558824504,-35676.50095059695,-38154.83143373558,True,False
475.0,1444.925107085745,8426.111793479464,19111.37864985225,38787.52912700208,True,False
476.0,1448.063597957229,9675.908421497312,-4501.666442287034,7110.798082356781,True,False
477.0,1450.7627828257937,7796.422866415047,33577.93119406026,46901.31705419927,True,False
478.0,1453.8796976757649,-16343.753015883902,1093.6595468972284,53041.87180685078,True,False
479.0,1457.3066345136735,-683.6964753155216,-41223.04731217746,-65175.67882679745,True,False
480.0,1459.6592821419204,1779.278595240818,949.6123126045773,-45597.41863587834,True,False
481.0,1462.9261739570636,9023.124788599329,2564.4314601412625,18603.02308073922,True,False
482.0,1466.1581363597215,19723.16030489174,-31379.84762187175,45069.26965420423,True,False
483.0,1468.817345519567,-19351.093485773457,22170.834351279314,-1680.2985051193025,True,False
484.0,1472.061732470081,14257.716271845042,-9188.013473954488,-98591.27101886371,True,False
485.0,1474.8124178205862,1598.416220831962,11719.246671489747,22912.45808424881,True,False
486.0,1478.3175715015832,17388.311366743186,44640.92323619237,54375.51444797265,True,False
487.0,1481.3338971074818,-14920.544769997128,79590.02129432102,-24953.459837112023,True,False
488.0,1484.1389290377062,11599.42108568607,-43886.81388538238,14460.616029534742,True,False
489.0,1487.3290118388963,6533.060566082347,30446.009169268767,43686.00756985588,True,False
490.0,1490.1953680288418,-5265.477974436362,53801.08347444529,64398.243076044106,True,False
491.0,1492.9977675765504,-13676.215210689044,-56466.6018599016,23403.3913566991,True,False
492.0,1495.4816294162497,10016.70864045108,56190.840222161234,10074.258339517615,True,False
493.0,1499.141359923599,1974.8667541034504,-75416.46877349958,397.0386150564107,True,False
494.0,1501.8413939678717,-114.69016580231543,24579.488368417224,14228.293017857102,True,False
495.0,1505.393036016397,4233.56978850027,-66201.85817902074,-44818.91852299777,True,False
